Podcast title (n = 94),Sponsoring network (n = 47),URL,first episode,official transcript?,filetype
Back to Work,5by5 Studios,<a href="http://5by5.tv/b2w">http://5by5.tv/b2w</a>,Jan 2011,no,n/a
the Big Web Show,5by5 Studios,http://5by5.tv/bigwebshow,Apr 2010,no,n/a
Hindsight,Al Jazeera Podcasts,https://www.aljazeera.com/podcasts/hindsight,Sep 2020,no,n/a
The Take,Al Jazeera Podcasts,https://www.aljazeera.com/podcasts/the-take-2,Mar 2021,no,n/a
the Dollop ,All Things Comedy ,https://www.dolloppodcast.com,Apr 2014,no,n/a
Monday Morning Podcast,All Things Comedy ,https://allthingscomedy.com/podcast/monday-morning-podcast,May 2007,no,n/a
Blank Check ,AudioBoom,https://audioboom.com/channel/Blank-Check,Mar 2015,no,n/a
Crime Weekly,AudioBoom,https://crimeweeklypodcast.com/,Nov 2020,no,n/a
Bald Move Pulp,Bald Move ,http://baldmove.com/category/pulp-podcast/,Jan 2013,no,n/a
Bald Move Prestige,Bald Move ,https://baldmove.com/category/bald-move-prestige/,Jun 2014,no,n/a
Call Her Daddy,Barstool Sports,https://www.barstoolsports.com/shows/54/call-her-daddy/about,Oct 2018,no,n/a
the Dave Portnoy Show,Barstool Sports,https://podcasts.apple.com/us/podcast/the-dave-portnoy-show-with-eddie-co,Sep 2020,no,n/a
Obsessed with… ,BBC ,https://www.bbc.co.uk/programmes/p0742833,Mar 2019,no,n/a
Just One Thing with Michael Mosley,BBC ,https://www.bbc.co.uk/programmes/p09by3yy,Mar 2021,no,n/a
It Was Said,Cadence13 ,https://shows.cadence13.com/podcast/it-was-said,Aug 2020,no,n/a
Gangster Capitalism,Cadence13 ,https://shows.cadence13.com/podcast/gangster-capitalism,May 2019,no,n/a
Canadaland,Canadaland ,https://www.canadaland.com/shows/canadaland/,Oct 2013,no,n/a
Commons,Canadaland ,https://www.canadaland.com/shows/commons/,Jun 2015,no,n/a
The Adam Carolla Show,Carolla Digital ,https://adamcarolla.com/category/podcasts/,Feb 2009,no,n/a
Reasonable Doubt,Carolla Digital ,https://reasonabledoubtpodcast.com/category/episodes/,Jul 2015,no,n/a
the Current,CBC Radio ,https://www.cbc.ca/radio/thecurrent,Nov 2002,no,HTML (printable)
Ideas: Radio for the Mind,CBC Radio ,https://www.cbc.ca/radio/ideas,Jan 2017,no,n/a
Lovett or Leave It,Crooked Media ,https://crooked.com/podcast-series/lovett-or-leave-it/,Mar 2017,by request,cc via Youtube. Or Word doc by request
Pod Save America,Crooked Media ,https://crooked.com/podcast-series/pod-save-america/,Jan 2017,by request,cc via Youtube. Or Word doc by request
Comedy Bang Bang,Earwolf ,https://www.earwolf.com/show/comedy-bang-bang/,May 2009,no,n/a
Office Ladies,Earwolf ,https://officeladies.com/,Oct 2019,yes,HTML
Baseball Tonight,ESPN Radio ,http://www.espn.com/espnradio/podcast/archive/_/id/2386164,Apr 2020,no,n/a
Caught Offside,ESPN Radio ,http://www.espn.com/espnradio/podcast/archive/_/id/10856736,Sep 2018,no,n/a
14 Days with Felicity,Foreverdog Podcasts,https://foreverdogpodcasts.com/podcasts/14-days-with-felicity/,Oct 2019,no,n/a
LGBTQ Nation,Foreverdog Podcasts,https://www.lgbtqnation.com/podcast/,Jan 2021,no,n/a
the Hopeful,"Frequency Podcast Network - Rogers Media, Canada",https://frequencypodcastnetwork.com/podcasts/the-hopeful/,Sep 2020,no,n/a
Someone Else’s Movie,"Frequency Podcast Network - Rogers Media, Canada",https://www.someoneelsesmovie.com/,Mar 2015,no,n/a
Currentgeek,Frogpants Network ,https://www.frogpants.com/currentgeek/,May 2018,no,n/a
There Will be Dungeons,Frogpants Network ,https://www.frogpants.com/twbd,May 2018,no,n/a
Authentic Life Radio,Generally Speaking Production Network ,https://gspn.tv/category/authenticlife/,Sep 2011,no,n/a
Family From the Heart,Generally Speaking Production Network ,https://gspn.tv/category/family-from-the-heart/,Dec 2017,no,n/a
Conviction,Gimlet Media (Spotify) ,https://gimletmedia.com/shows/conviction,Feb 2019,no,n/a
Reply All,Gimlet Media (Spotify) ,https://gimletmedia.com/shows/reply-all,Nov 2019,yes,"HTML, pop-up textbox window"
Today in Focus,The Guardian ,https://www.theguardian.com/news/series/todayinfocus,Nov 2018,no,n/a
Football Weekly,The Guardian ,https://www.theguardian.com/football/series/footballweekly,May 2006,no,n/a
Doughboys,HeadGum ,https://headgum.com/doughboys,May 2015,no,n/a
Keeping Records,HeadGum ,https://headgum.com/keeping-records,Dec 2020,no,n/a
